congress,mean,median,max,min,sum
104,8343.229166666666,622.0,347227.0,118.0,2803325.0
105,7830.29776674938,686.0,429189.0,64.0,3155610.0
106,5596.730132450331,562.5,319937.0,103.0,3380425.0
107,6203.843342036554,431.0,285461.0,102.0,2376072.0
108,5899.950396825397,485.5,313341.0,104.0,2973575.0
109,6333.138716356108,411.0,343979.0,66.0,3058906.0
110,5625.268623024831,318.0,292102.0,59.0,2491994.0
111,8751.901041666666,504.0,395627.0,103.0,3360730.0
112,6511.341549295775,527.5,296340.0,103.0,1849221.0
113,6567.897959183673,457.0,327149.0,67.0,1930962.0
114,7858.770642201835,534.0,420040.0,103.0,2569818.0
115,6904.656934306569,443.0,411050.0,128.0,2837814.0
116,10896.592307692308,474.5,950369.0,113.0,2833114.0
